,0,1,2
713,C:\Users\dhiae\RANZ_kaggle\data\-0.228707417845726__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev867;1.png,0,10.0
8850,C:\Users\dhiae\RANZ_kaggle\data\0.6680999994277954__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev480;1.png,1,6.0
2793,C:\Users\dhiae\RANZ_kaggle\data\-0.8842806220054626__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev505;1.png,0,3.0
6777,C:\Users\dhiae\RANZ_kaggle\data\0.04527948796749115__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev842;1.png,0,30.0
1783,C:\Users\dhiae\RANZ_kaggle\data\-0.5598000288009644__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev713;1.png,1,1.0
2307,C:\Users\dhiae\RANZ_kaggle\data\-0.7355318665504456__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev441;1.png,0,3.0
10995,C:\Users\dhiae\RANZ_kaggle\data\1.3389999866485596__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev265;1.png,1,1.0
4573,C:\Users\dhiae\RANZ_kaggle\data\-1.4412872791290283__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev914;1.png,0,10.0
10409,C:\Users\dhiae\RANZ_kaggle\data\1.1418054103851318__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev181;1.png,0,30.0
8841,C:\Users\dhiae\RANZ_kaggle\data\0.6652607917785645__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev660;1.png,0,3.0
12616,C:\Users\dhiae\RANZ_kaggle\data\2.4286000728607178__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev910;1.png,1,6.0
291,C:\Users\dhiae\RANZ_kaggle\data\-0.0961521714925766__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev486;1.png,0,3.0
7264,C:\Users\dhiae\RANZ_kaggle\data\0.19670209288597107__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev219;1.png,0,3.0
4850,C:\Users\dhiae\RANZ_kaggle\data\-1.5268000364303589__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev149;1.png,1,20.0
8494,C:\Users\dhiae\RANZ_kaggle\data\0.5610517859458923__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev944;1.png,0,30.0
6703,C:\Users\dhiae\RANZ_kaggle\data\0.02338683046400547__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev541;1.png,0,30.0
1403,C:\Users\dhiae\RANZ_kaggle\data\-0.44369998574256897__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev734;1.png,1,1.0
6210,C:\Users\dhiae\RANZ_kaggle\data\-2.72979998588562__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev945;1.png,1,20.0
13314,C:\Users\dhiae\RANZ_kaggle\data\3.054500102996826__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev132;1.png,1,6.0
8199,C:\Users\dhiae\RANZ_kaggle\data\0.46841520071029663__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev609;1.png,0,10.0
3250,C:\Users\dhiae\RANZ_kaggle\data\-1.0276108980178833__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev199;1.png,0,30.0
352,C:\Users\dhiae\RANZ_kaggle\data\-0.1145659014582634__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev621;1.png,0,3.0
3271,C:\Users\dhiae\RANZ_kaggle\data\-1.0340197086334229__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev908;1.png,0,10.0
8101,C:\Users\dhiae\RANZ_kaggle\data\0.4449000060558319__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev292;1.png,1,6.0
13361,C:\Users\dhiae\RANZ_kaggle\data\3.0980000495910645__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev520;1.png,1,1.0
3305,C:\Users\dhiae\RANZ_kaggle\data\-1.0434999465942383__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev369;1.png,1,1.0
10594,C:\Users\dhiae\RANZ_kaggle\data\1.2087290287017822__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev769;1.png,0,30.0
6610,C:\Users\dhiae\RANZ_kaggle\data\-3.1210999488830566__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev686;1.png,1,20.0
1213,C:\Users\dhiae\RANZ_kaggle\data\-0.3822976052761078__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev326;1.png,0,10.0
8686,C:\Users\dhiae\RANZ_kaggle\data\0.6152233481407166__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev794;1.png,0,3.0
12065,C:\Users\dhiae\RANZ_kaggle\data\1.9052000045776367__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev450;1.png,1,20.0
6482,C:\Users\dhiae\RANZ_kaggle\data\-3.0035998821258545__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev343;1.png,1,20.0
5578,C:\Users\dhiae\RANZ_kaggle\data\-2.124300003051758__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev358;1.png,1,6.0
686,C:\Users\dhiae\RANZ_kaggle\data\-0.21979902684688568__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev190;1.png,0,30.0
2532,C:\Users\dhiae\RANZ_kaggle\data\-0.8069000244140625__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev899;1.png,1,6.0
878,C:\Users\dhiae\RANZ_kaggle\data\-0.27633973956108093__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev477;1.png,0,30.0
9454,C:\Users\dhiae\RANZ_kaggle\data\0.847599983215332__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev597;1.png,1,6.0
2846,C:\Users\dhiae\RANZ_kaggle\data\-0.9046000242233276__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev476;1.png,1,1.0
6193,C:\Users\dhiae\RANZ_kaggle\data\-2.717099905014038__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev925;1.png,1,6.0
12611,C:\Users\dhiae\RANZ_kaggle\data\2.425800085067749__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev924;1.png,1,20.0
12307,C:\Users\dhiae\RANZ_kaggle\data\2.130199909210205__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev487;1.png,1,20.0
3930,C:\Users\dhiae\RANZ_kaggle\data\-1.2365000247955322__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev391;1.png,1,6.0
10485,C:\Users\dhiae\RANZ_kaggle\data\1.1684999465942383__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev332;1.png,1,6.0
3163,C:\Users\dhiae\RANZ_kaggle\data\-1.0017750263214111__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev723;1.png,0,10.0
9786,C:\Users\dhiae\RANZ_kaggle\data\0.9500889778137207__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev304;1.png,0,3.0
12502,C:\Users\dhiae\RANZ_kaggle\data\2.328700065612793__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev763;1.png,1,20.0
4014,C:\Users\dhiae\RANZ_kaggle\data\-1.261366844177246__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev550;1.png,0,30.0
3211,C:\Users\dhiae\RANZ_kaggle\data\-1.0139533281326294__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev746;1.png,0,10.0
11216,C:\Users\dhiae\RANZ_kaggle\data\1.4129999876022339__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev580;1.png,1,6.0
10306,C:\Users\dhiae\RANZ_kaggle\data\1.1101000308990479__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev260;1.png,1,20.0
8933,C:\Users\dhiae\RANZ_kaggle\data\0.6953999996185303__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev606;1.png,1,20.0
2387,C:\Users\dhiae\RANZ_kaggle\data\-0.7633785605430603__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev847;1.png,0,3.0
2879,C:\Users\dhiae\RANZ_kaggle\data\-0.9134149551391602__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev313;1.png,0,30.0
2787,C:\Users\dhiae\RANZ_kaggle\data\-0.8837000131607056__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev662;1.png,1,20.0
9330,C:\Users\dhiae\RANZ_kaggle\data\0.811904788017273__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev358;1.png,0,10.0
8127,C:\Users\dhiae\RANZ_kaggle\data\0.45077309012413025__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev912;1.png,0,3.0
3134,C:\Users\dhiae\RANZ_kaggle\data\-0.9961277842521667__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev310;1.png,0,30.0
6051,C:\Users\dhiae\RANZ_kaggle\data\-2.5648999214172363__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev845;1.png,1,1.0
11069,C:\Users\dhiae\RANZ_kaggle\data\1.360344648361206__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev497;1.png,0,30.0
8464,C:\Users\dhiae\RANZ_kaggle\data\0.5529000163078308__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev522;1.png,1,1.0
9166,C:\Users\dhiae\RANZ_kaggle\data\0.7642071843147278__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run3_ev360;1.png,0,10.0
5673,C:\Users\dhiae\RANZ_kaggle\data\-2.2195000648498535__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev900;1.png,1,1.0
369,C:\Users\dhiae\RANZ_kaggle\data\-0.11697277426719666__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev500;1.png,0,10.0
5714,C:\Users\dhiae\RANZ_kaggle\data\-2.257699966430664__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev429;1.png,1,1.0
6367,C:\Users\dhiae\RANZ_kaggle\data\-2.897599935531616__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev733;1.png,1,6.0
10309,C:\Users\dhiae\RANZ_kaggle\data\1.111360788345337__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev855;1.png,0,10.0
3698,C:\Users\dhiae\RANZ_kaggle\data\-1.1614737510681152__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev691;1.png,0,10.0
12995,C:\Users\dhiae\RANZ_kaggle\data\2.776099920272827__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev942;1.png,1,6.0
12267,C:\Users\dhiae\RANZ_kaggle\data\2.103100061416626__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev472;1.png,1,1.0
616,C:\Users\dhiae\RANZ_kaggle\data\-0.19480000436306__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev793;1.png,1,6.0
8857,C:\Users\dhiae\RANZ_kaggle\data\0.6709514260292053__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev803;1.png,0,10.0
6442,C:\Users\dhiae\RANZ_kaggle\data\-2.9753000736236572__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev758;1.png,1,6.0
12709,C:\Users\dhiae\RANZ_kaggle\data\2.510699987411499__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev394;1.png,1,6.0
8102,C:\Users\dhiae\RANZ_kaggle\data\0.4453999996185303__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev126;1.png,1,6.0
11824,C:\Users\dhiae\RANZ_kaggle\data\1.6914000511169434__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev457;1.png,1,20.0
8970,C:\Users\dhiae\RANZ_kaggle\data\0.7079742550849915__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev347;1.png,0,10.0
420,C:\Users\dhiae\RANZ_kaggle\data\-0.13403986394405365__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev455;1.png,0,10.0
1773,C:\Users\dhiae\RANZ_kaggle\data\-0.556171715259552__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev116;1.png,0,3.0
3283,C:\Users\dhiae\RANZ_kaggle\data\-1.0371999740600586__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev833;1.png,1,20.0
2449,C:\Users\dhiae\RANZ_kaggle\data\-0.7846999764442444__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev593;1.png,1,6.0
9525,C:\Users\dhiae\RANZ_kaggle\data\0.8724691271781921__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev787;1.png,0,3.0
2214,C:\Users\dhiae\RANZ_kaggle\data\-0.7039130926132202__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev454;1.png,0,3.0
2408,C:\Users\dhiae\RANZ_kaggle\data\-0.7731314301490784__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev128;1.png,0,30.0
10945,C:\Users\dhiae\RANZ_kaggle\data\1.3226888179779053__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev521;1.png,0,3.0
2719,C:\Users\dhiae\RANZ_kaggle\data\-0.8647000193595886__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev280;1.png,1,6.0
3167,C:\Users\dhiae\RANZ_kaggle\data\-1.0023000240325928__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev617;1.png,1,20.0
7665,C:\Users\dhiae\RANZ_kaggle\data\0.3160856366157532__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev968;1.png,0,30.0
5511,C:\Users\dhiae\RANZ_kaggle\data\-2.059499979019165__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev475;1.png,1,1.0
12371,C:\Users\dhiae\RANZ_kaggle\data\2.197000026702881__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev533;1.png,1,20.0
5374,C:\Users\dhiae\RANZ_kaggle\data\-1.9189000129699707__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev682;1.png,1,20.0
551,C:\Users\dhiae\RANZ_kaggle\data\-0.1749117225408554__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev428;1.png,0,3.0
9210,C:\Users\dhiae\RANZ_kaggle\data\0.7758719325065613__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev183;1.png,0,10.0
13023,C:\Users\dhiae\RANZ_kaggle\data\2.79259991645813__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev930;1.png,1,6.0
3449,C:\Users\dhiae\RANZ_kaggle\data\-1.0878000259399414__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev528;1.png,1,6.0
3934,C:\Users\dhiae\RANZ_kaggle\data\-1.2369357347488403__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev965;1.png,0,3.0
12516,C:\Users\dhiae\RANZ_kaggle\data\2.3389999866485596__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev626;1.png,1,1.0
9481,C:\Users\dhiae\RANZ_kaggle\data\0.8565000295639038__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev538;1.png,1,1.0
7868,C:\Users\dhiae\RANZ_kaggle\data\0.36970001459121704__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev539;1.png,1,6.0
10453,C:\Users\dhiae\RANZ_kaggle\data\1.1574000120162964__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev925;1.png,1,20.0
7859,C:\Users\dhiae\RANZ_kaggle\data\0.36800000071525574__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run5_ev499;1.png,1,20.0
2044,C:\Users\dhiae\RANZ_kaggle\data\-0.6441361308097839__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev728;1.png,0,10.0
9582,C:\Users\dhiae\RANZ_kaggle\data\0.8894723653793335__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run1_ev301;1.png,0,3.0
5827,C:\Users\dhiae\RANZ_kaggle\data\-2.3533999919891357__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev919;1.png,1,1.0
9635,C:\Users\dhiae\RANZ_kaggle\data\0.9071000218391418__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev757;1.png,1,20.0
4459,C:\Users\dhiae\RANZ_kaggle\data\-1.4050902128219604__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev671;1.png,0,10.0
3459,C:\Users\dhiae\RANZ_kaggle\data\-1.0892574787139893__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev601;1.png,0,30.0
12366,C:\Users\dhiae\RANZ_kaggle\data\2.1872000694274902__CYGNO_60_40_He_NR_6_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev638;1.png,1,6.0
1482,C:\Users\dhiae\RANZ_kaggle\data\-0.4663887619972229__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev996;1.png,0,3.0
13017,C:\Users\dhiae\RANZ_kaggle\data\2.7909998893737793__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run4_ev728;1.png,1,20.0
99,C:\Users\dhiae\RANZ_kaggle\data\-0.03762701898813248__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev300;1.png,0,30.0
12571,C:\Users\dhiae\RANZ_kaggle\data\2.390399932861328__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev595;1.png,1,1.0
11913,C:\Users\dhiae\RANZ_kaggle\data\1.7698999643325806__CYGNO_60_40_He_NR_1_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev417;1.png,1,1.0
11309,C:\Users\dhiae\RANZ_kaggle\data\1.4436781406402588__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev294;1.png,0,30.0
3192,C:\Users\dhiae\RANZ_kaggle\data\-1.0087329149246216__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev290;1.png,0,30.0
1970,C:\Users\dhiae\RANZ_kaggle\data\-0.6210781931877136__CYGNO_60_40_ER_3_keV_930V_30cm_IDAO_iso_crop_hist_pic_run5_ev162;1.png,0,3.0
5383,C:\Users\dhiae\RANZ_kaggle\data\-1.9284000396728516__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run1_ev958;1.png,1,20.0
4009,C:\Users\dhiae\RANZ_kaggle\data\-1.2588152885437012__CYGNO_60_40_ER_30_keV_930V_30cm_IDAO_iso_crop_hist_pic_run2_ev807;1.png,0,30.0
4408,C:\Users\dhiae\RANZ_kaggle\data\-1.3904223442077637__CYGNO_60_40_ER_10_keV_930V_30cm_IDAO_iso_crop_hist_pic_run4_ev502;1.png,0,10.0
12959,C:\Users\dhiae\RANZ_kaggle\data\2.7430999279022217__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run3_ev702;1.png,1,20.0
12394,C:\Users\dhiae\RANZ_kaggle\data\2.2190001010894775__CYGNO_60_40_He_NR_20_keV_930V_30cm_SRIM_IDAO_iso_crop_hist_pic_run2_ev996;1.png,1,20.0
